Station_ID,Station_Name,Station_City,Station_Lattitude,Station_Longitude,Station_Gas_Price,Station_Premium_Price,Station_Diesel_Price
246,Puma Gas Station 623,Sabana Grande,18.0739853,-66.9525756,92.7,92.7,78.7
247,"American Gasoline Victoria, Ponce",Ponce,18.0122924,-66.6284836,92.7,92.7,78.7
248,W Y W 11 INC. TOTAL 25 JULIO,Yauco,18.0308023,-66.8549988,93.7,92.7,78.7
249,TotalEnergies 25 De Julio,Yauco,18.0308211,-66.8551877,93.7,92.7,78.7
250,Gulf Service Station (JUPPER),Peñuelas,18.0553504,-66.7217103,91.7,92.7,78.7
251,TotalEnergies Cuatro Calles,Yauco,18.0187923,-66.8716842,93.7,92.7,78.7
252,Ecomaxx,Peñuelas,17.9860187,-66.7089675,93.7,92.7,78.7
253,Mobil - Gas Station,Guayanilla,18.0194204,-66.7886105,92.7,92.7,78.7
254,Mecanico A Domicilio Rodriguez,Guayanilla,17.996059,-66.818252,-1,92.7,78.7
255,Puma Energy 844,Guayanilla,18.0219021,-66.7923333,92.7,92.7,78.7
256,JJ Gas Station,Yauco,18.0331414,-66.8518542,-1,92.7,78.7
257,Gasolinera Puma,Yauco,18.0232063,-66.8533234,92.7,92.7,78.7
258,EcoMaxx,Lajas,17.9936792,-66.9737737,93.7,92.7,78.7
259,TEXACO,Cabo Rojo,18.027733,-67.1629158,93.7,92.7,78.7
260,TotalEnergies Muñoz Rivera,Guayanilla,18.0186348,-66.7913366,93.7,92.7,78.7
261,Empire Planta Guanica,Guánica,17.972608,-66.9040341,-1,92.7,78.7
262,Puma Gas Station,Yauco,18.0232422,-66.8532852,92.7,92.7,78.7
263,Arenas Service Station,Guánica,18.022159,-66.905749,-1,92.7,78.7
264,Total,Yauco,18.0187575,-66.8716711,93.7,92.7,78.7
265,Gulf,Yauco,18.032795,-66.8520367,91.7,92.7,78.7
266,Ultra Top Fuel,Guánica,17.9742263,-66.9075148,92.7,92.7,78.7
267,Muelle Rafy Corales,Lajas,17.9734264,-67.0392674,-1,92.7,78.7
